item,swapped,prefix,continuation_class,continuation_id,continuation,continuation_type,score
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",lexical overlap,1,Which restaurant was it?,vp1,-5.412163257598877
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",lexical overlap,2,I didn't know the governor likes Greek food.,vp1,-5.456449508666992
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",lexical overlap,3,Where was the restaurant located?,vp1,-5.519073963165283
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",lexical overlap,4,"Was it only the governor, or were there other people as well?",vp1,-5.557682514190674
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",lexical overlap,5,Is any of them Greek?,vp1,-5.712464332580566
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",situational inference,6,Did they take a picture together?,vp1,-5.533883094787598
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",situational inference,7,I wonder if they talked about educational policies.,vp1,-5.719147682189941
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",situational inference,8,I thought the two were incompatible.,vp1,-5.922492980957031
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",situational inference,9,I can see that the election season is coming up.,vp1,-5.487087726593018
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",situational inference,10,Do you know if it was a coincidence?,vp1,-5.577696323394775
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",event association,11,When did the meeting happen?,vp1,-5.655523300170898
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",event association,12,Why did they meet up in the first place?,vp1,-5.266613960266113
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",event association,13,How did the meeting go?,vp1,-5.396503925323486
1,FALSE,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",event association,14,Remind me what kind of meeting this was.,vp1,-5.498781681060791
